termino,definicion,semana,semana_titulo,categoria_principal,categorias_secundarias,terminos_relacionados,funcion
Dato,"Un valor concreto que se observa o se mide: cuánto cobra un competidor, cuántas personas pasan frente a un local en una hora, cuánto cuesta un insumo.",1,¿Por qué los números?,general,fundamentos,Métrica;Supuesto;Referente,Diagnóstico
Métrica,El dato que sí importa seguir de cerca porque de él depende una decisión. No todos los datos son igual de importantes.,1,¿Por qué los números?,general,fundamentos,Dato;La métrica que importa,Diagnóstico
Modelo,"Una versión simplificada de la realidad de un negocio que se usa para tomar una decisión concreta: cuánto cobrar, cuánta gente necesito, si el negocio se sostiene.",1,¿Por qué los números?,general,fundamentos,Supuesto;Tablero de supuestos;Palanca,Diagnóstico
Referente,"Un negocio que ya existe y que sirve de comparación. Sus números, aunque no sean exactos para tu caso, dan una primera idea de qué esperar.",1,¿Por qué los números?,general,fundamentos,Dato;Supuesto,Diagnóstico
Supuesto,"Algo que el modelo da por cierto sin haberlo confirmado todavía. Nombrarlo es lo que permite revisar el modelo después, cuando lleguen datos reales.",1,¿Por qué los números?,general,fundamentos,Modelo;Tablero de supuestos;Referente,Diagnóstico
Proporción / razón,"La comparación entre dos cantidades que dice qué tanto corresponde de una por cada unidad de la otra: por ejemplo, tacos por cada cliente.",2,De los números a la estrategia,matematico,proporcion-tasa,Tasa,Medición
Tasa,"Una proporción donde el segundo término es tiempo, como clientes por día o ventas por mes.",2,De los números a la estrategia,matematico,proporcion-tasa,Proporción / razón;Métrica,Medición
La métrica que importa,"La palanca que, con los supuestos actuales del negocio, más mueve el resultado si se mueve ella. No es la única métrica del negocio, es la más sensible en un momento dado.",2,De los números a la estrategia,negocio,palancas,Métrica;Palanca,Decisión
Palanca,"Un número del modelo que, al cambiarlo, cambia el resultado; distintas palancas mueven el resultado en distinta medida.",2,De los números a la estrategia,negocio,palancas,La métrica que importa;Modelo;Tablero de supuestos;Ganancia por unidad,Decisión
Tablero de supuestos,"El conjunto de supuestos de un negocio puestos juntos y editables, para poder preguntar qué pasaría si alguno de esos números fuera distinto.",2,De los números a la estrategia,negocio,palancas,Supuesto;Modelo;Palanca,Decisión
Costo directo (variable) por unidad,"Lo que entra en una sola unidad producida: materiales o ingredientes. Si no se produce ninguna unidad, no se gasta nada en esto.",3,Operar con intención,negocio,costos,Costo unitario;Costo fijo mensual,Costeo
Costo fijo mensual,"Lo que un negocio paga cada mes exista o no exista un cliente: renta, sueldos fijos, servicios.",3,Operar con intención,negocio,costos,Costo unitario;Costo directo (variable) por unidad,Costeo
Costo unitario,"El costo directo por unidad más la parte del costo fijo mensual que le toca a cada unidad, repartiendo el fijo entre las unidades del mes.",3,Operar con intención,negocio,costos;notacion,Costo directo (variable) por unidad;Costo fijo mensual;Ganancia por unidad;Jerarquía de operaciones,Costeo
Jerarquía de operaciones,"La regla que dice que la multiplicación y la división se resuelven antes que la suma y la resta, salvo que los paréntesis digan otra cosa; garantiza que una expresión tenga un único significado posible.",3,Operar con intención,matematico,notacion,Costo unitario,Cálculo
Ganancia por unidad,"La diferencia entre el precio y el costo unitario, en pesos, no como margen.",3,Operar con intención,negocio,costos;palancas,Costo unitario;Palanca,Rentabilidad
